decimal.js's own test suite, unmodified, run against the Go port.

  docker build -t decimaljs-go .
  docker run --rm decimaljs-go

This table is the container run: the image builds the port from source, vets it,
runs the Go unit tests, builds the adapter and smoke-tests the marshalling
boundary, then executes every module below. Running it on the host gives the
same numbers.

Each module is the vendored file under tests/original/modules/, executed by node
with `require('../decimal')` resolving to the adapter shim, which delegates every
operation to the Go build over the line protocol in adapter/PROTOCOL.md. No file
under tests/original/ is modified; their hashes are in
tests/original/HASHES.txt.

TWO NUMBERS, AND THE DIFFERENCE BETWEEN THEM

  22658  the comparable figure. A clean upstream checkout of cd73a7f passes
         22658 of 22658, over the 60 modules its own test.js executes. This
         port passes the same 22658.

  32658  this table's total. It adds powSqrt.js, which upstream's test.js does
         not list and which cannot run as shipped: it loops on a free variable
         `total` that no version of setup.js defines, so it throws a
         ReferenceError before its first assertion. Filed upstream as
         MikeMcl/decimal.js#262. The test runner here supplies the missing
         counter rather than editing the vendored file, and the module then
         passes 10000 of 10000 - which is also the evidence that the test
         itself is sound and only its loop bound was broken.

Compare against the baseline with 22658; the extra 10000 are a bonus this port
can run and upstream currently cannot.

module              passed    total  note
----------------  --------  -------  ----
Decimal.js             987      987  
abs.js                 100      100  
acos.js                 54       54  
acosh.js                50       50  
asin.js                 54       54  
asinh.js                50       50  
atan.js                 50       50  
atan2.js               100      100  
atanh.js                50       50  
cbrt.js                 50       50  
ceil.js                 50       50  
clamp.js                29       29  
clone.js                65       65  
cmp.js                1000     1000  
config.js              206      206  
cos.js                 101      101  
cosh.js                100      100  
div.js                1000     1000  
divToInt.js           1000     1000  
dpSd.js                133      133  
exp.js                 100      100  
floor.js               100      100  
hypot.js               100      100  
immutability.js       3341     3341  
intPow.js              500      500  
isFiniteEtc.js         214      214  
ln.js                  499      499  
log.js                 200      200  
log10.js               500      500  
log2.js                200      200  
minAndMax.js           110      110  
minus.js              1000     1000  
mod.js                1000     1000  
neg.js                 200      200  
plus.js               1000     1000  
pow.js                 108      108  
powSqrt.js           10000    10000  
random.js             1000     1000  
round.js               500      500  
sign.js                 16       16  
sin.js                 100      100  
sinh.js                100      100  
sqrt.js               1000     1000  
sum.js                  37       37  
tan.js                 100      100  
tanh.js                100      100  
times.js              1000     1000  
toBinary.js            327      327  
toDP.js                500      500  
toExponential.js       500      500  
toFixed.js             500      500  
toFraction.js          200      200  
toHex.js               309      309  
toNearest.js           157      157  
toNumber.js             40       40  
toOctal.js             293      293  
toPrecision.js         500      500  
toSD.js                500      500  
toString.js            338      338  
trunc.js               100      100  
valueOf.js              40       40  
----------------  --------  -------  ----
total                32658    32658  
